Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 11-60 Male,-0.043339394,0.014191416,0.957586336,0.931317928,0.984596,-0.02747121,0.10884306,0.997256649,0.976207258,1.018760,8.85E-05,0.001535728,1.0011331,0.963294705,1.040458,-0.00191215,0.00196409,0.987647946,0.963241152,1.012673
Age 60+All,-0.08836181,0.022562272,0.915429605,0.875829481,0.956820,-0.2719429,0.1735431,0.973172146,0.940626875,1.006843,0.000595104,0.002395375,1.007646417,0.948875351,1.070058,-0.004058325,0.003100484,0.973965777,0.936243882,1.013208
Age 60+ Female,-0.097197631,0.027479829,0.907376663,0.859797747,0.957588,-0.42676301,0.2132628,0.958221515,0.918993886,0.999124,0.001781779,0.002906718,1.023068834,0.951118166,1.100462,-0.007804768,0.003845409,0.950534337,0.905089448,0.998261
Age 60+ Male,-0.07070524,0.03857983,0.93173649,0.863879742,1.004923,0.02539512,0.29101653,1.002542739,0.946958767,1.061389,-0.001759185,0.004119605,0.97773406,0.881729272,1.084192,0.002962152,0.005106409,1.019440541,0.955231401,1.087966
All: LAG2,-0.03910371,0.007912949,0.961650971,0.946851423,0.976682,-0.11508149,0.06104553,0.988557816,0.976800277,1.000457,-0.001357161,0.000860026,0.982778357,0.961800728,1.004214,-0.002283945,0.001099026,0.985264011,0.971564875,0.999156
Female,-0.036496722,0.008265043,0.964161254,0.948668168,0.979907,-0.09460307,0.06385228,0.990584301,0.978264345,1.003059,-0.001074986,0.000899214,0.986334413,0.964332331,1.008838,-0.00199638,0.001147299,0.987107361,0.972784152,1.001641
Male,-0.043691913,0.011553889,0.957248828,0.93581494,0.979174,-0.15443803,0.08890044,0.984674841,0.967666003,1.001983,-0.000789148,0.001250225,0.98994975,0.959381245,1.021492,-0.003489438,0.001610809,0.977573941,0.957716902,0.997843
Warm All,-0.01657135,0.01721338,0.9835652,0.950934993,1.017315,-0.1521312,0.1580033,0.984902015,0.954868383,1.015880,0.02006893,0.001835741,1.292892949,1.234699022,1.353830,-0.02328001,0.00277796,0.859572536,0.829683252,0.890539
Warm Female,-0.01762942,0.0173864,0.982525069,0.949607285,1.016584,-0.1521448,0.1596694,0.984900675,0.954555318,1.016211,0.02009469,0.001850756,1.293319323,1.234641032,1.354786,-0.02307843,0.002800366,0.860699546,0.830533962,0.891961
Warm Male,-0.02083903,0.02020132,0.979376602,0.941356257,1.018933,-0.2092855,0.1855127,0.979288932,0.944321084,1.015552,0.02005659,0.002167823,1.292688751,1.224261749,1.364940,-0.02363589,0.003270942,0.857586453,0.822583661,0.894079
Cold All,-0.089443429,0.025710142,0.914439994,0.869501424,0.961701,-0.167923,0.1552846,0.983347905,0.953869813,1.013737,-0.0294732,0.002496299,0.685739844,0.644111063,0.730059,0.02135701,0.002702751,1.148917925,1.110030528,1.189168
